agent,other,trust,friendship,respect,fear
Mira,Zane,40,85,1,0
Mira,Kai,81,74,12,0
Mira,Lena,39,71,6,0
Mira,Rook,6,13,4,0
Mira,Niko,17,59,0,0
Mira,Aria,97,100,0,0
Mira,Daren,57,99,1,0
Mira,Nova,10,19,0,0
Mira,Eli,3,100,2,0
Mira,Liona,0,6,0,0
Mira,Arira,0,4,0,0
Mira,Kairen,0,12,1,0
Mira,Senami,0,2,0,0
Mira,Noraan,0,2,0,0
Mira,Ramiel,4,5,0,0
Mira,Ramimi,0,0,0,0
Mira,Eliel,0,1,0,0
Mira,Elina,0,3,1,0
Mira,Elian,0,0,0,0
Mira,Mirara,0,0,0,0
Mira,Arimi,4,6,1,0
Mira,Mira,0,0,1,0
Mira,Ramira,0,0,0,0
Mira,Ramian,0,0,0,0
Mira,Ramiko,5,9,1,0
Mira,Arina,0,1,0,0
Mira,Kaimi,0,0,0,0
Mira,Mirana,5,8,1,0
Mira,Mirako,0,0,0,0
Mira,Senana,0,2,1,0
Kai,Daren,16,13,4,0
Kai,Mira,81,74,2,0
Kai,Lena,-3,0,0,0
Kai,Rook,0,52,4,0
Kai,Niko,0,19,0,0
Kai,Aria,100,100,0,0
Kai,Nova,93,54,4,0
Kai,Eli,-90,3,0,0
Kai,Zane,9,27,0,0
Kai,Liona,18,15,1,0
Kai,Kai,0,0,1,0
Kai,Arira,0,0,0,0
Kai,Kairen,9,17,2,0
Kai,Ramiel,0,13,1,0
Kai,Ramimi,0,0,0,0
Kai,Eliel,22,36,2,0
Kai,Elina,0,0,0,0
Kai,Elian,17,27,2,0
Kai,Mirara,9,3,1,0
Kai,Arimi,0,1,0,0
Kai,Ramira,0,0,0,0
Kai,Ramian,0,0,0,0
Kai,Ramiko,0,0,0,0
Kai,Arina,15,7,1,0
Kai,Kaimi,0,0,0,0
Kai,Mirana,0,0,0,0
Kai,Mirako,0,0,1,0
Kai,Senana,0,0,0,0
Lena,Mira,39,71,3,0
Lena,Kai,-3,0,1,0
Lena,Rook,100,100,8,0
Lena,Niko,29,66,0,0
Lena,Aria,29,42,0,0
Lena,Daren,26,75,4,0
Lena,Nova,56,100,14,0
Lena,Eli,-35,88,0,0
Lena,Zane,38,38,0,0
Lena,Liona,15,35,1,0
Lena,Kairen,8,17,1,0
Lena,Arira,0,2,0,0
Lena,Senami,3,7,1,0
Lena,Arian,7,19,2,0
Lena,Noraan,11,10,2,0
Lena,Miraan,1,4,1,0
Lena,Norako,0,6,1,0
Lena,Ramina,0,5,2,0
Lena,Ramiel,0,3,0,0
Lena,Mirako,5,10,1,0
Lena,Kaiko,0,2,1,0
Lena,Ramimi,7,10,1,0
Lena,Eliel,0,0,0,0
Lena,Elina,0,1,0,0
Lena,Elian,0,0,0,0
Lena,Mirara,0,3,0,0
Lena,Arimi,0,0,0,0
Lena,Mirala,0,4,1,0
Lena,Lena,-100,0,0,0
Lena,Eliko,-1,2,1,0
Lena,Ramira,4,8,1,0
Lena,Ramian,0,0,0,0
Lena,Ramiko,17,16,1,0
Lena,Arina,-1,6,0,0
Lena,Kaimi,4,11,1,0
Lena,Mirana,0,0,0,0
Lena,Senana,0,0,0,0
Rook,Mira,5,14,3,0
Rook,Kai,-1,53,7,0
Rook,Lena,100,100,10,0
Rook,Niko,21,28,0,0
Rook,Aria,3,18,0,0
Rook,Daren,43,83,9,0
Rook,Nova,99,100,13,0
Rook,Eli,-40,11,0,0
Rook,Zane,53,100,1,0
Rook,Liona,0,1,0,0
Rook,Kairen,9,18,1,0
Rook,Arira,0,1,0,0
Rook,Senami,17,26,1,0
Rook,Arian,7,8,1,0
Rook,Noraan,8,0,1,0
Rook,Miraan,-1,10,1,0
Rook,Ramiel,10,27,2,0
Rook,Kaiko,0,8,1,0
Rook,Mirako,0,1,0,0
Rook,Ramimi,8,16,1,0
Rook,Eliel,0,0,0,0
Rook,Elina,0,1,0,0
Rook,Elian,0,0,0,0
Rook,Mirara,3,3,1,0
Rook,Arimi,0,0,0,0
Rook,Rook,0,0,0,0
Rook,Ramira,0,0,1,0
Rook,Ramian,0,0,0,0
Rook,Ramiko,0,2,0,0
Rook,Arina,0,2,0,0
Rook,Kaimi,0,0,1,0
Rook,Senael,0,7,1,0
Rook,Kaina,0,4,1,0
Rook,Senaren,0,0,1,0
Rook,Mirala,0,1,0,0
Rook,Senara,0,2,1,0
Rook,Mirana,0,0,0,0
Rook,Senana,0,0,0,0
Niko,Mira,16,60,4,0
Niko,Kai,1,18,2,0
Niko,Lena,27,68,6,0
Niko,Rook,21,28,1,0
Niko,Aria,0,0,0,0
Niko,Daren,38,87,5,0
Niko,Nova,8,36,6,0
Niko,Eli,11,100,1,0
Niko,Zane,29,41,0,0
