OBSERVER WORLD HISTORY SNAPSHOTS
================================

{'day': 2, 'hour': 0, 'alive': 50, 'dead': 0, 'food': 2022, 'wood': 149, 'stone': 77, 'tension': 75, 'wars': 0, 'technologies': 1, 'births_total': 0, 'deaths_total': 0, 'notifications_total': 5, 'avg_health': 95.44, 'avg_hunger': 65.1, 'avg_energy': 65.84, 'food_per_person': 40.44, 'births_today': 0, 'deaths_today': 0, 'growth_rate': 0}
{'day': 3, 'hour': 0, 'alive': 50, 'dead': 0, 'food': 3155, 'wood': 197, 'stone': 103, 'tension': 75, 'wars': 0, 'technologies': 1, 'births_total': 0, 'deaths_total': 0, 'notifications_total': 7, 'avg_health': 92.18, 'avg_hunger': 63.54, 'avg_energy': 76.98, 'food_per_person': 63.1, 'births_today': 0, 'deaths_today': 0, 'growth_rate': 0.0}
{'day': 4, 'hour': 0, 'alive': 50, 'dead': 0, 'food': 3364, 'wood': 216, 'stone': 110, 'tension': 75, 'wars': 0, 'technologies': 1, 'births_total': 0, 'deaths_total': 0, 'notifications_total': 9, 'avg_health': 88.68, 'avg_hunger': 59.68, 'avg_energy': 85.12, 'food_per_person': 67.28, 'births_today': 0, 'deaths_today': 0, 'growth_rate': 0.0}
{'day': 5, 'hour': 0, 'alive': 50, 'dead': 0, 'food': 3573, 'wood': 286, 'stone': 141, 'tension': 75, 'wars': 0, 'technologies': 1, 'births_total': 0, 'deaths_total': 0, 'notifications_total': 11, 'avg_health': 87.74, 'avg_hunger': 58.74, 'avg_energy': 83.3, 'food_per_person': 71.46, 'births_today': 0, 'deaths_today': 0, 'growth_rate': 0.0}
{'day': 6, 'hour': 0, 'alive': 50, 'dead': 0, 'food': 3690, 'wood': 398, 'stone': 218, 'tension': 75, 'wars': 0, 'technologies': 1, 'births_total': 0, 'deaths_total': 0, 'notifications_total': 19, 'avg_health': 85.3, 'avg_hunger': 56.1, 'avg_energy': 85.66, 'food_per_person': 73.8, 'births_today': 0, 'deaths_today': 0, 'growth_rate': 0.0}
{'day': 7, 'hour': 0, 'alive': 50, 'dead': 1, 'food': 3949, 'wood': 520, 'stone': 294, 'tension': 75, 'wars': 0, 'technologies': 2, 'births_total': 1, 'deaths_total': 1, 'notifications_total': 27, 'avg_health': 83.36, 'avg_hunger': 56.54, 'avg_energy': 85.8, 'food_per_person': 78.98, 'births_today': 1, 'deaths_today': 0, 'growth_rate': 0.0}
{'day': 8, 'hour': 0, 'alive': 49, 'dead': 3, 'food': 4013, 'wood': 561, 'stone': 331, 'tension': 75, 'wars': 0, 'technologies': 2, 'births_total': 2, 'deaths_total': 3, 'notifications_total': 37, 'avg_health': 81.81632653061224, 'avg_hunger': 53.51020408163265, 'avg_energy': 85.81632653061224, 'food_per_person': 81.89795918367346, 'births_today': 2, 'deaths_today': 0, 'growth_rate': -2.0}
{'day': 9, 'hour': 0, 'alive': 48, 'dead': 5, 'food': 3950, 'wood': 565, 'stone': 370, 'tension': 72, 'wars': 0, 'technologies': 2, 'births_total': 3, 'deaths_total': 5, 'notifications_total': 47, 'avg_health': 80.375, 'avg_hunger': 53.0, 'avg_energy': 81.47916666666667, 'food_per_person': 82.29166666666667, 'births_today': 3, 'deaths_today': 0, 'growth_rate': -2.0408163265306123}
{'day': 10, 'hour': 0, 'alive': 47, 'dead': 7, 'food': 3834, 'wood': 647, 'stone': 480, 'tension': 75, 'wars': 0, 'technologies': 3, 'births_total': 4, 'deaths_total': 7, 'notifications_total': 58, 'avg_health': 78.74468085106383, 'avg_hunger': 54.95744680851064, 'avg_energy': 86.91489361702128, 'food_per_person': 81.57446808510639, 'births_today': 4, 'deaths_today': 0, 'growth_rate': -2.083333333333333}
{'day': 11, 'hour': 0, 'alive': 49, 'dead': 9, 'food': 3867, 'wood': 674, 'stone': 582, 'tension': 75, 'wars': 0, 'technologies': 3, 'births_total': 6, 'deaths_total': 9, 'notifications_total': 68, 'avg_health': 73.81632653061224, 'avg_hunger': 52.06122448979592, 'avg_energy': 81.18367346938776, 'food_per_person': 78.91836734693878, 'births_today': 6, 'deaths_today': 0, 'growth_rate': 4.25531914893617}
{'day': 12, 'hour': 0, 'alive': 52, 'dead': 11, 'food': 3917, 'wood': 649, 'stone': 596, 'tension': 75, 'wars': 0, 'technologies': 3, 'births_total': 11, 'deaths_total': 11, 'notifications_total': 81, 'avg_health': 68.71153846153847, 'avg_hunger': 54.17307692307692, 'avg_energy': 83.53846153846153, 'food_per_person': 75.32692307692308, 'births_today': 11, 'deaths_today': 0, 'growth_rate': 6.122448979591836}
